app_ref_no,app_title,onet_all_codes
ST0001,Accountancy / taxation professional,"['13-2011.01', '13-2081.00']"
ST0502,Actuary,['15-2011.00']
ST0004,Actuarial technician,['15-2011.00']
ST0170,Facilities management supervisor,"['11-3011.00', '43-1011.00']"
ST0070,Business administrator,['11-3011.00']
ST0484,Facilities manager,"['11-3011.00', '11-9141.00']"
ST0410,Senior / head of facilities management (degree),"['11-3011.00', '11-9141.00']"
ST0617,Facilities services operative,"['37-2011.00', '33-9032.00', '39-6011.00', '39-6012.00']"
ST0644,Advertising and media executive,['41-3011.00']
ST0457,Engineering technician,"['17-3021.00', '51-4041.00', '53-5031.00', '17-2199.05', '49-2091.00']"
ST0010,Aerospace engineer (degree),['17-2011.00']
ST0018,Crop technician,['19-4011.01']
ST0282,Metrology technician,"['19-4011.01', '51-9061.00']"
ST0283,Senior metrology technician,"['19-4011.01', '51-9061.00']"
ST0595,Air traffic controller,['53-2021.00']
ST0019,Aircraft maintenance certifying engineer,['49-3011.00']
ST0038,Aviation ground specialist,"['53-2022.00', '53-6051.01']"
ST0037,Aviation ground operative,"['53-2022.00', '53-6051.01']"
ST0523,First officer pilot,"['53-2011.00', '53-2012.00']"
ST0627,"Ambulance support worker (emergency, urgent and non-urgent)",['53-3011.00']
ST0058,Animal technologist,['19-1011.00']
ST0398,Animal trainer,['39-2011.00']
ST0769,Archaeological specialist (degree),['19-3091.02']
ST0221,Archaeological technician,['19-3091.02']
ST0533,Architect (degree),"['17-1011.00', '17-1012.00']"
ST0456,Post graduate engineer,"['17-2141.00', '17-2131.00', '17-2071.00']"
ST0534,Architectural assistant (degree),['17-3011.01']
ST0633,Arts therapist (degree),['29-1125.01']
ST0524,Sporting excellence professional,['27-2021.00']
ST0173,Fashion studio assistant,"['27-4011.00', '27-1022.00']"
ST0610,Internal audit professional,['13-2011.01']
ST0587,Internal audit practitioner,['13-2011.02']
ST0405,"Vehicle damage mechanical, electrical and trim (MET) technician",['49-3021.00']
ST0352,Accident repair technician,['49-3021.00']
ST0403,Vehicle damage panel technician,['49-3021.00']
ST0033,Motor vehicle service and maintenance technician (light vehicle),"['49-3023.01', '49-3052.00']"
ST0499,Autocare technician,"['49-3023.01', '49-3023.02']"
ST0191,Baker,['51-3011.00']
ST0190,Advanced baker,['51-3011.00']
ST0622,Bicycle mechanic,['49-3091.00']
ST0175,Advanced credit controller / debt collection specialist,"['43-3011.00', '43-4041.02']"
ST0649,Bioinformatics scientist (degree),['19-1029.01']
ST0002,Assistant accountant,['43-3031.00']
ST0179,Investment operations administrator,['43-6014.00']
ST0003,Professional accounting / taxation technician,"['43-3031.00', '13-2081.00']"
ST0608,Accounts / finance assistant,['43-3031.00']
ST0095,Bricklayer,['47-2021.00']
ST0106,Creative venue technician,['27-4012.00']
ST0342,Outside broadcasting engineer (degree),"['27-4012.00', '27-4031.00']"
ST0341,Broadcast production assistant,['27-4012.00']
ST0696,Post production technical operator,"['27-4012.00', '27-2012.05']"
ST0255,Live event technician,['27-4012.00']
ST0426,Broadcast and media systems engineer (degree),"['27-4012.00', '27-4011.00']"
ST0424,Broadcast and media systems technical operator,['27-4012.00']
ST0067,Bus and coach engineering technician,['49-3031.00']
ST0068,Heavy vehicle service and maintenance technician,['49-3031.00']
ST0338,"Passenger transport driver - bus, coach and tram",['53-3021.00']
ST0077,Advanced butcher,['51-3021.00']
ST0078,Butcher,['51-3021.00']
ST0203,Furniture manufacturer,['51-7011.00']
ST0639,Bespoke furniture maker,['27-1012.00']
ST0793,New furniture product developer,['27-1021.00']
ST0394,Maritime operations officer,['33-9092.00']
ST0307,Port operative,"['43-5011.00', '53-7062.00']"
ST0461,Formworker,"['47-2051.00', '47-2071.00']"
ST0232,Senior production chef,['35-1011.00']
ST0227,Chef de partie,['35-1011.00']
ST0228,Commis chef,['35-1011.00']
ST0589,Production chef,['35-1011.00']
ST0597,Technician Scientist,"['19-4031.00', '29-2012.00']"
ST0248,Laboratory technician,"['19-4031.00', '29-2012.00', '19-4011.01', '19-4021.00', '51-9081.00', '51-9083.00', '19-4091.00']"
ST0480,Senior leader (degree),['11-1011.00']
ST0088,"Children, young people and families practitioner",['21-1021.00']
ST0510,Social worker (degree),['21-1021.00']
ST0087,"Children, young people and families manager",['21-1021.00']
ST0135,Early years educator,['39-9011.00']
ST0164,Engineering design and draughtsperson,"['17-3011.02', '17-3011.01']"
ST0063,Building services design technician,['17-3022.00']
ST0372,Building services design engineer (degree),"['17-3022.00', '11-9021.00']"
ST0091,Civil engineering technician,['17-3022.00']
ST0046,Construction site engineering technician,['17-3022.00']
ST0041,Building services engineering technician,['17-3022.00']
ST0417,Civil engineer (degree),['17-2051.00']
ST0609,Clinical trials specialist (degree),['11-9121.01']
ST0568,Psychological wellbeing practitioner ,['19-3031.03']
ST0463,Industrial coatings applicator,['51-9121.00']
ST0637,Packaging professional (degree),['27-1021.00']
ST0027,Product design and development engineer (degree),['27-1021.00']
ST0093,Community sport and health officer,['21-1094.00']
ST0631,Public health practitioner (degree),"['21-1094.00', '29-9011.00']"
ST0187,Workplace pensions (administrator or consultant),['13-1141.00']
ST0363,Senior compliance / risk specialist,"['11-9199.02', '13-2099.02']"
ST0708,Public sector compliance Investigator / officer,"['13-1041.01', '13-1041.02', '13-2081.00']"
ST0362,Compliance / risk officer,['13-2061.00']
ST0430,Regulatory compliance officer,"['13-1041.01', '13-1041.02', '13-2081.00']"
ST0585,Data scientist (integrated degree),['15-1111.00']
ST0127,Network engineer,['15-1152.00']
ST0117,IS business analyst,['15-1121.00']
ST0119,Digital and technology solutions professional (integrated degree),"['15-1199.02', '15-1133.00', '15-1132.00']"
ST0107,Systems engineer,['15-1199.02']
ST0482,Digital and technology solutions specialist (integrated degree),['15-1199.02']
ST0505,IT solutions technician,"['15-1199.02', '11-3021.00', '15-1152.00', '15-1151.00', '15-1121.00']"
ST0120,Digital support technician,['15-1151.00']
ST0264,Carpentry and joinery,['47-2031.01']
ST0043,Construction design and build technician,"['11-9021.00', '27-1025.00']"
ST0266,Digital engineering technician,"['11-9021.00', '17-2051.00', '17-3022.00']"
ST0044,Design and construction management (degree),['11-9021.00']
ST0040,Building services engineering site management (degree),['11-9021.00']
ST0042,Civil engineering site management (degree),"['11-9021.00', '17-3022.00']"
ST0047,Construction site management (degree),['11-9021.00']
ST0048,Construction site supervisor,['47-1011.00']
ST0158,Dual fuel smart meter installer,['49-2097.00']
ST0386,Custody and detention officer,['33-3012.00']
ST0049,Construction quantity surveying technician,['13-1051.00']
ST0045,Construction quantity surveyor (degree),"['13-1051.00', '11-9021.00']"
ST0267,Lifting technician,['53-7021.00']
ST0176,Credit controller / collector,"['43-4041.01', '43-4041.02', '43-3011.00']"
ST0559,Museums and galleries technician,['25-4013.00']
ST0178,Financial services customer adviser,['43-4051.00']
ST0072,Customer service practitioner,['43-4051.00']
ST0071,Customer service specialist,['43-4051.00']
ST0113,Dental nurse,"['31-9091.00', '29-2061.00']"
ST0542,Oral health practitioner,['29-2021.00']
ST0110,Dental laboratory assistant,['51-9081.00']
ST0108,Dental technician (integrated),['51-9081.00']
ST0554,Sonographer (degree),['29-2032.00']
ST0599 ,Dietitian (degree),['29-1031.00']
ST0527,Church minister (degree),['21-2011.00']
ST0388,Interior systems installer,['47-2081.00']
ST0375,Tunnelling operative,['47-5021.00']
ST0796,Senior professional economist,['19-3011.00']
ST0603,Professional economist (degree),['19-3011.00']
ST0532,Publishing assistant,['27-3043.04']
ST0575,School business professional,['11-9032.00']
ST0694,Career development professional,"['21-1012.00', '25-2023.00', '25-2032.00', '21-1015.00']"
ST0024,Electrical / electronic technical support engineer (degree),"['17-3023.01', '17-3023.03']"
ST0052,Highways electrician / service operative,"['49-2094.00', '53-6041.00', '47-4051.00']"
ST0159,Utilities engineering technician,"['49-2094.00', '49-9071.00']"
ST0791 ,Commercial catering equipment technician,['49-2094.00']
ST0150,"Electrical, electronic product service and installation engineer",['49-2094.00']
ST0588,Propulsion technician,"['17-3023.03', '51-2031.00', '17-2121.01']"
ST0316,Rail engineering advanced technician,"['53-4013.00', '49-3043.00', '47-4061.00', '17-3023.03']"
ST0023,Control / technical support engineer (degree),['17-2199.04']
ST0249,Science industry maintenance technician,"['17-3023.03', '17-3027.00', '49-9041.00', '51-8099.04', '51-8099.03', '49-9071.00']"
ST0154,Maintenance and operations engineering technician,"['17-3023.03', '49-9071.00', '17-3027.00', '49-9081.00']"
ST0157,Electrical power protection and plant commissioning engineer,['17-2071.00']
ST0153,Power engineer (degree),['17-2071.00']
ST0475,Electrical power networks engineer,"['17-2071.00', '17-3029.02']"
ST0497,Rail and rail systems principal engineer (degree),"['17-2071.00', '47-4061.00', '53-4021.00', '49-9097.00', '53-4013.00']"
ST0156,Power network craftsperson,['49-9051.00']
ST0152,Installation electrician / maintenance electrician,"['47-2111.00', '49-9098.00']"
ST0681,Electronic systems principal engineer,"['17-2072.00', '17-3023.01', '17-3029.04']"
ST0151,Embedded electronic systems design and development engineer (degree),['17-2072.00']
ST0252,Lift and escalator electromechanic,['47-4021.00']
ST0287,Associate ambulance practitioner,['29-2041.00']
ST0567,Paramedic (degree),['29-2041.00']
ST0161,Junior energy manager,['17-2199.03']
ST0092,Community energy specialist,['13-1199.05']
ST0432,Engineering fitter,"['51-2031.00', '47-2152.01', '51-2041.00', '51-2023.00', '51-2022.00']"
ST0767,Water environment worker,"['17-3025.00', '19-1031.01']"
ST0778,Environmental practitioner (degree),"['17-2081.00', '17-3025.00']"
ST0714,Environmental health practitioner (degree),"['19-4091.00', '19-2041.00']"
ST0663,Employability practitioner,"['21-1015.00', '21-1012.00']"
ST0574,Ordnance munitions and explosives (OME) professional (degree),['47-5031.00']
ST0615,Demolition operative,['47-5031.00']
ST0541,Fashion and textiles pattern cutter,"['51-9031.00', '51-6092.00']"
ST0017,"Stockperson (beef, pigs, sheep, dairy)",['45-2093.00']
ST0467,Poultry technician,['45-2093.00']
ST0366,Fencing installer,['47-4031.00']
ST0561,Senior investment / commercial banking professional,"['11-3031.02', '13-2051.00', '41-3031.03', '11-9199.03']"
ST0177,Financial services administrator,['43-6014.00']
ST0183,Paraplanner,"['11-3031.02', '13-2052.00']"
ST0520,Senior insurance professional,"['11-3031.02', '13-2099.02', '13-2071.00', '13-2053.00']"
ST0746,Fire safety inspector,['33-2021.01']
ST0188,Business fire safety advisor,"['33-2021.01', '33-1021.01', '17-2111.02']"
ST0225,Horticulture and landscape operative,['37-3011.00']
ST0226,Landscape / horticulture supervisor,['37-1012.00']
ST0230,Hospitality supervisor,['39-1021.00']
ST0325,Retail manager,['41-1011.00']
ST0326,Retail team leader,['41-1011.00']
ST0547,Retail leadership degree apprenticeship,['41-1011.00']
ST0145,Mineral processing weighbridge operator,['53-1031.00']
ST0428,Port marine operations officer,['53-1031.00']
ST0302,Personal trainer,['39-9031.00']
ST0558,Cabin crew,['53-2031.00']
ST0504,Floorlayer,['47-2042.00']
ST0580,Brewer,['51-3092.00']
ST0199,Food and drink process operator,"['51-3092.00', '51-3093.00']"
ST0196,Food and drink advanced process operator,['51-1011.00']
ST0393,Advanced dairy technologist,"['51-3092.00', '19-1012.00', '51-9012.00']"
ST0529,Food and drink advanced engineer (degree),['19-1012.00']
ST0624,Food and drink engineer,['19-1012.00']
ST0198,Food technologist,['19-1012.00']
ST0197,Food industry technical professional (degree),['19-1012.00']
ST0788,Advanced forensic practitioner (custody or sexual offence),['19-4092.00']
ST0224,Forest operative,"['19-1032.00', '19-4093.00']"
ST0747,Counter fraud investigator,['13-2099.04']
ST0539,International freight forwarding specialist,"['43-5011.01', '43-5011.00', '43-5071.00']"
ST0594,Funeral team member,['39-4021.00']
ST0205,Gas network craftsperson,"['51-8092.00', '47-2152.01']"
ST0204,Gas network team leader,"['51-8092.00', '47-2152.01']"
ST0515,Manufacturing manager (degree),['11-3051.00']
ST0385,Operations / departmental manager,"['11-1021.00', '11-3031.02']"
ST0384,Team leader / supervisor,['11-1021.00']
ST0511,Mineral and construction product sampling and testing operations,['19-4041.02']
ST0492,Geospatial mapping and science specialist (degree),['15-1199.04']
ST0744,Fenestration fabricator,['47-2121.00']
ST0031,Automotive glazing technician,['49-3022.00']
ST0743,Fenestration installer,['47-2121.00']
ST0213,Hair professional,['39-5012.00']
ST0630,Beauty therapist,"['39-5012.00', '39-5094.00']"
ST0022,Asbestos analyst / surveyor,['29-9011.00']
ST0564,Advanced clinical practitioner (degree),['29-1171.00']
ST0786,Associate continuing healthcare practitioner,['21-1022.00']
ST0216,Healthcare support worker,['21-1022.00']
ST0220,Healthcare science associate,"['31-9092.00', '29-2099.05', '29-2099.06']"
ST0217,Senior healthcare support worker,"['31-9092.00', '29-2099.05', '29-2099.06']"
ST0600,Hearing aid dispenser,['29-2092.00']
ST0064,Building services engineering ductwork craftsperson,['49-9021.01']
ST0062,Building services engineering craftsperson,['49-9021.01']
ST0391,Building services engineering ventilation hygiene technician,['49-9021.01']
ST0322,Refrigeration air conditioning and heat pump engineering technician,"['49-9021.01', '49-9021.02']"
ST0257,Large goods vehicle (LGV) driver,['53-3032.00']
ST0051,Highway electrical maintenance and installation operative,"['47-4051.00', '49-2094.00']"
ST0053,Highways maintenance skilled operative,['47-4051.00']
ST0155,Gas engineering operative,['49-9031.00']
ST0464,Smart home technician,"['49-9031.00', '49-2097.00']"
ST0005,Adult care worker,"['31-1011.00', '39-9021.00']"
ST0233,Hospitality team member,['35-9031.00']
ST0229,Hospitality manager,"['13-1121.00', '39-1021.00', '11-9081.00', '11-9051.00']"
ST0239,HR support,['43-4161.00']
ST0238,HR consultant / partner,['13-1071.00']
ST0321,Recruitment resourcer,['13-1071.00']
ST0320,Recruitment consultant,['13-1071.00']
ST0577,Ecologist (degree),"['19-2041.03', '19-2041.00']"
ST0695,Process leader,"['17-2112.00', '51-1011.00']"
ST0473,Science industry process / plant engineer (degree),"['17-2112.00', '17-3029.02', '11-3051.04', '51-8091.00']"
ST0465,Risk and safety management professional (degree),['17-2111.01']
ST0409,Cyber security technical professional (integrated degree),"['15-1122.00', '13-1199.02']"
ST0114,Cyber intrusion analyst,"['15-1122.00', '13-1199.02']"
ST0124,Cyber security technologist,"['15-1122.00', '13-1199.02']"
