app_ref_no,app_title,onet_all_codes
ST0149,Learning and skills teacher,"['25-2032.00', '25-1194.00']"
ST0562,Learning and development practitioner,"['25-9031.00', '13-1151.00', '11-3131.00']"
ST0333,Commercial thermal insulation operative,['47-2131.00']
ST0521,Industrial thermal insulation technician,"['47-2131.00', '47-2132.00']"
ST0406,Vehicle damage assessor,['13-1032.00']
ST0240,Insurance practitioner,"['43-9041.02', '41-3021.00']"
ST0241,Insurance professional,"['13-2053.00', '43-9041.01', '41-3021.00', '13-1031.02']"
ST0516,Intelligence analyst,['33-3021.06']
ST0654,Fitted furniture design technician,['27-1025.00']
ST0180,Investment operations specialist,['41-3031.01']
ST0171,Property maintenance operative,"['49-9071.00', '37-2011.00']"
ST0210,Sports turf operative,['37-3011.00']
ST0209,Golf greenkeeper,['37-3011.00']
ST0513,Groundworker,['37-3011.00']
ST0604,Textile care operative,['51-6011.00']
ST0244,Chartered legal executive,['23-1011.00']
ST0101,Licensed conveyancer,['23-1011.00']
ST0246,Solicitor,['23-1011.00']
ST0102,Probate technician,['23-2011.00']
ST0664,"Library, information and archive services assistant","['25-4031.00', '25-4011.00', '43-4121.00']"
ST0697,Specialist community and public health nurse,"['29-2061.00', '21-1094.00']"
ST0293,Registered nurse - degree (NMC 2010),['29-2061.00']
ST0781,Registered nurse degree (NMC 2018),['29-2061.00']
ST0709,District nurse,['29-2061.00']
ST0103,Express delivery operative,"['53-3033.00', '43-5021.00', '53-3031.00']"
ST0182,Mortgage adviser,"['13-2071.01', '13-2071.00']"
ST0495,Rail and rail systems engineer,"['17-2071.00', '17-2141.00']"
ST0496,Rail and rail systems senior engineer (degree),"['17-2071.00', '17-2141.00']"
ST0431,Rehabilitation worker (visual impairment),['29-1122.01']
ST0061,Building services engineering service and maintenance engineer,['49-9071.00']
ST0065,Building services engineering installer,['49-9071.00']
ST0740,Through life engineering services specialist (degree),['49-9071.00']
ST0571,Heritage engineering technician,"['49-9071.00', '25-4013.00']"
ST0569,Leisure and entertainment engineering technician,"['49-9043.00', '49-9071.00', '17-3023.03', '17-3027.00']"
ST0195,Food and drink maintenance engineer,['49-9043.00']
ST0243,Land-based service engineering technician,"['49-9043.00', '49-3053.00']"
ST0273,Junior management consultant,['13-1111.00']
ST0272,Chartered manager (degree),['11-1021.00']
ST0635,Nail services technician,['39-5092.00']
ST0265,Construction assembly and installation operative,['49-9095.00']
ST0025,Manufacturing engineer (degree),['17-2199.04']
ST0250,Science manufacturing technician,['17-3029.09']
ST0163,Project controls technician,"['15-2031.00', '17-3029.09']"
ST0841,Engineering manufacturing technician,['17-3029.09']
ST0491,Geospatial survey technician,"['17-3031.02', '17-1022.01', '15-1199.04']"
ST0059,Boatbuilder,['17-2121.02']
ST0364,Marine engineer,['17-2121.01']
ST0623,Marine technical superintendent (degree),['17-2121.01']
ST0772,Marine surveyor (degree),['17-2121.01']
ST0807,Marketing assistant,['13-1161.00']
ST0612,Marketing manager,['11-2021.00']
ST0596,Marketing executive,['11-2021.00']
ST0659,Materials process engineer (degree),['17-2131.00']
ST0094,Composites Technician,"['17-2131.00', '51-4072.00']"
ST0675,Materials science technologist (degree),"['17-2131.00', '19-2032.00']"
ST0592,Marina and boatyard operative,"['53-6011.00', '53-6031.00']"
ST0274,Able seafarer (deck),['53-5021.02']
ST0400,Workboat crewmember,['53-5021.02']
ST0194,Fishmonger,"['35-3021.00', '51-3022.00']"
ST0373,Powered pedestrian door installer and service engineer,['49-9011.00']
ST0662,Automation and controls engineering technician,['17-2199.05']
ST0407,Process automation engineer (degree),"['17-2199.05', '17-2112.00 ']"
ST0413,Healthcare science practitioner (degree),"['29-2011.00', '29-2012.00']"
ST0626,Laboratory scientist (degree),"['29-2012.00', '19-4011.01', '19-4021.00', '19-4031.00', '51-9081.00', '19-4091.00', '29-2056.00,51-9083.00', '51-9083.00']"
ST0109,Dental practice manager,['11-9111.00']
ST0632,Prosthetic and orthotic technician,"['51-9082.00', '29-2091.00']"
ST0218,Healthcare science assistant,['31-9092.00']
ST0535,Clinical coder,['29-2071.00']
ST0168,Event assistant,['13-1121.00']
ST0794,Midwife (degree),['29-9099.01']
ST0605,Mineral products technician,"['47-1011.00', '29-9012.00']"
ST0144,Mineral processing mobile and static plant operator,"['47-2073.00', '49-3042.00']"
ST0263,Advanced carpentry and joinery,['47-2031.01']
ST0584,Funeral director,"['39-4031.00', '11-9061.00']"
ST0276,Maritime electrical / mechanical mechanic,"['49-3051.00', '53-5031.00']"
ST0376,Motorcycle technician (repair and maintenance),['49-3052.00']
ST0346,Assistant technical director (visual effects),['27-1014.00']
ST0105,Junior content producer,['27-1014.00']
ST0347,Junior 2D artist (visual effects),"['27-1014.00', '27-4032.00']"
ST0628,Cultural heritage conservator (degree),['25-4013.00']
ST0611,Cultural heritage conservation technician,['25-4013.00']
ST0759,Research scientist,"['11-9121.00', '19-1021.00', '19-2041.00', '11-9121.01', '19-1020.01', '19-1013.00', '19-1011.00', '19-2032.00', '15-1111.00', '19-1012.00']"
ST0125,Infrastructure technician,"['15-1142.00', '11-3021.00', '15-1152.00']"
ST0369,Non-destructive testing engineer (degree),['17-3029.01']
ST0288,Non-destructive testing engineering technician,['17-3029.01']
ST0358,Non-destructive testing (NDT) operator,['17-3029.01']
ST0389,Poultry worker,['45-2093.00']
ST0789,Keeper and aquarist,['11-9013.03']
ST0167,Senior equine groom,['45-2093.00']
ST0397,Animal care and welfare assistant,"['39-2021.00', '31-9096.00']"
ST0166,Equine groom,['45-2093.00']
ST0289,Nuclear scientist and nuclear engineer (degree),['17-2161.00']
ST0380,Nuclear technician,['19-4051.01']
ST0292,Nuclear welding inspection technician,"['19-4051.01', '51-9061.00']"
ST0291,Nuclear operative,"['19-4051.01', '51-8011.00']"
ST0290,Nuclear health physics monitor,['19-4051.02']
ST0215,Healthcare assistant practitioner,['29-1171.00']
ST0827,Nursing associate (NMC 2018),['31-1014.00']
ST0550,"Safety, health and environment technician","['29-9012.00', '17-2111.01', '19-4091.00']"
ST0517,Occupational therapist (integrated degree),['29-1122.00']
ST0122,Digital marketer,['13-1161.00']
ST0481,Digital marketer integrated degree,"['13-1161.00', '11-2021.00']"
ST0537,Engineering operative,['47-2073.00']
ST0383,Spectacle maker,['51-9083.00']
ST0530,Optical assistant,['29-2081.00']
ST0259,Supply chain warehouse operative,"['43-5081.04', '43-5081.03']"
ST0601,Prosthetist / orthotist (degree),['29-2091.00']
ST0242,Land-based service engineer,"['49-3053.00', '49-9043.00', '17-2021.00']"
ST0016,Packhouse line leader,['51-1011.00']
ST0295,Painter and decorator,['47-2141.00']
ST0448,Vehicle damage paint technician,['51-9122.00']
ST0296,Papermaker,['51-9196.00']
ST0100,Conveyancing technician,['23-2011.00']
ST0245,Paralegal,['23-2011.00']
ST0693,Road surfacing operative,['47-2071.00']
ST0073,Payroll administrator,['43-3051.00']
ST0006,Lead adult care worker,"['31-1011.00', '39-9021.00']"
ST0374,Financial adviser,['13-2052.00']
ST0429,Pest control technician,['37-2021.00']
ST0299,Pharmacy services assistant,['31-9095.00']
ST0300,Pharmacy technician (Integrated),['29-2052.00']
ST0506,Photographic assistant,['27-4021.00']
ST0519,Physiotherapist (integrated degree),['29-1123.00']
ST0518,Physician associate (degree),['29-1071.00']
ST0268,Piling attendant,['47-2072.00']
ST0427,Marine Pilot,['53-5021.03']
ST0060,Building services engineering ductwork installer,['49-9021.01']
ST0162,Engineering construction pipefitter,['47-2152.01']
ST0422,Science manufacturing process operative,"['51-8091.00', '51-8013.00', '51-8092.00', '51-8031.00']"
ST0096,Plasterer,['47-2161.00']
ST0303,Plumbing and domestic heating technician,"['47-2152.02', '49-9021.01']"
ST0493,Podiatrist (degree),['29-1081.00']
ST0509,Police community support officer,['33-3051.01']
ST0483,Emergency service contact handling,['43-5031.00']
ST0477,Academic professional,"['25-1032.00', '25-1052.00', '25-1061.00', '25-1123.00', '25-1011.00', '25-1067.00', '25-1021.00', '25-1022.00', '25-1031.00', '25-1041.00', '25-1042.00', '25-1043.00', '25-1051.00,25-1053.00,25-1054.00,25-1062.00', '25-1053.00', '25-1054.00', '25-1062.00']"
ST0566,"Metal casting, foundry and patternmaking technician","['51-4052.00', '51-4062.00']"
ST0309,Print technician,['51-5112.00']
ST0494,Probation services practitioner,['21-1092.00']
ST0648,Probation officer,['21-1092.00']
ST0525,Creative industries production manager (degree),"['27-2012.01', '27-2012.02']"
ST0236,Senior housing / property management,['11-9141.00']
ST0234,Housing / property management,['11-9141.00']
ST0487,Specialist rescue operative,['33-9092.00']
ST0311,Public relations and communications assistant,['27-3031.00']
ST0345,Digital community manager,['27-3031.00']
ST0583,Mammography associate,['29-2034.00']
ST0619 ,Diagnostic radiographer (Integrated Degree),['29-2034.00']
ST0620,Therapeutic radiographer (integrated degree),['29-1069.10']
ST0528,High speed rail and infrastructure technician,['47-4061.00']
ST0669,Tramway construction operative,['47-4061.00']
ST0318,Rail engineering technician,['47-4061.00']
ST0317,Rail engineering operative,['47-4061.00']
ST0419,Rail infrastructure operator,['53-4021.00']
ST0235,Housing / property management assistant,['11-9141.00']
ST0329,Junior estate agent,['41-9022.00']
ST0479,Outdoor activity instructor,['39-9032.00']
ST0390,Leisure team member,['39-9032.00']
ST0301,Leisure duty manager,['39-9032.00']
ST0829,Health play specialist,['29-1125.00']
ST0507,Metal recycling general operative,"['51-9199.01', '51-9061.00']"
ST0752,Drinks dispense technician,"['49-9091.00', '49-9021.02']"
ST0545,Waste resource operative,['53-7081.00']
ST0586,Regulatory affairs specialist (degree),['13-1041.07']
ST0285,Junior journalist,['27-3022.00']
ST0474,Motor finance specialist,"['43-4131.00', '41-2031.00']"
ST0327,Retailer,['41-2031.00']
ST0359,Scaffolder,['49-9096.00']
ST0256,Live event rigger,['49-9096.00']
ST0433,Engineering construction erector / rigger,['49-9096.00']
ST0270,Roofer,['47-2181.00']
ST0472,Financial services professional,['13-2051.00']
ST0185,Senior financial services customer adviser,['43-3071.00']
ST0181,Investment operations technician,['43-3031.00']
ST0115,IT technical salesperson,['41-9031.00']
ST0572,Sales executive,"['41-4012.00', '41-4011.00', '41-2031.00']"
ST0423,Business to business sales professional (degree),"['41-4012.00', '41-4011.00']"
ST0490,Teacher,"['25-2031.00', '25-2021.00', '25-2022.00', '25-2023.00', '25-2032.00', '25-2012.00']"
ST0189,Fire emergency and security systems technician,['49-2098.00']
ST0330,Security first line manager,['11-9199.07']
ST0174,Props technician,['27-1027.00']
ST0476,Assistant puppet maker,['27-1013.00']
ST0549,Sewing machinist,"['51-6031.00', '51-6063.00']"
ST0621,Boatmaster,['53-5021.01']
ST0328,Bespoke Saddler,['51-6041.00']
ST0460 ,Leather craftsperson,['51-6041.00']
ST0202,Footwear manufacturer,['51-6042.00']
ST0636,Beauty and make up consultant,['41-2031.00']
ST0418,Abattoir worker,['51-3023.00']
ST0396,Cultural learning and participation officer,['11-9151.00']
ST0593,Community safety advisor,"['11-9151.00', '21-1094.00']"
ST0478,Community activator coach,"['21-1091.00', '21-1094.00', '11-9151.00']"
ST0128,Software development technician,['15-1132.00']
ST0013,Aerospace software development engineer (degree),['15-1133.00']
ST0116,Software developer,['15-1133.00']
ST0129,Software tester,['15-1199.01']
ST0613,Acoustics technician,['27-4014.00']
ST0618 ,Speech and language therapist (integrated degree),['29-1127.00']
ST0118,Data analyst,"['43-9111.00', '15-1199.08']"
ST0471,Express delivery manager (degree),['11-3071.02']
ST0334,Trade supplier,"['11-3071.02', '11-3071.03']"
ST0099,Structural steelwork fabricator,['51-2041.00']
ST0271,Steel fixer,['47-2221.00']
ST0169,Structural steelwork erector,['47-2221.00']
ST0607 ,Metal fabricator,['51-2041.00']
ST0645,Train driver,['53-4011.00']
ST0201,Supply chain practitioner (fast moving consumer good) [previously Operator/Manager],['13-1081.00']
ST0548,Supply chain leadership professional (degree),['11-9199.04']
ST0258,Supply chain operator,['13-1081.00']
ST0582,Operating department practitioner (integrated degree),['29-2055.00']
ST0332,Surveying technician,['17-3031.01']
ST0652,Building control surveyor (degree),['17-1022.00']
ST0331,Chartered surveyor (degree),['17-1022.00']
ST0846,Garment maker,['51-6052.00']
ST0055,Bespoke tailor and cutter,['51-6052.00']
ST0602,Revenues and welfare benefits practitioner,"['13-2081.00', '43-4061.00']"
ST0454,Teaching assistant,['25-9041.00']
ST0420,Lean manufacturing operative,"['51-2092.00', '19-4099.01', '51-2031.00']"
ST0130,Unified communications technician,['49-2022.00']
ST0131,Unified communications trouble shooter,['49-2022.00']
ST0616,Wireless communications rigger,"['49-2021.00', '49-9052.00']"
ST0485,Network cable installer,['49-9052.00']
ST0678,Technical dyer and colourist,['51-6061.00']
ST0581,Textile technical specialist,"['51-6063.00', '51-6061.00', '51-6064.00']"
ST0458,Textile manufacturing operative,"['51-6063.00', '51-6061.00', '51-6064.00']"
ST0540,Fashion and textiles product technologist,"['51-1011.00', '19-4099.01']"
ST0368,Wall and floor tiler,"['47-2044.00', '47-2042.00']"
ST0395,Watchmaker,"['51-2093.00', '49-9064.00']"
ST0498,Specialist tyre operative,['49-3093.00']
ST0556,Improvement leader,['11-3131.00']
ST0563,Learning and development consultant / business partner,['11-3131.00']
ST0148,Learning mentor,"['13-1151.00', '25-2032.00']"
ST0555,Improvement specialist,['13-1111.00']
ST0193,Improvement technician,['13-1111.00']
ST0192,Improvement practitioner,['13-1111.00']
ST0339,Passenger transport onboard and station team member,['53-6061.00']
ST0315,Railway engineering design technician,['17-2051.01']
ST0066,Road transport engineering manager,"['17-2051.01', '11-3071.01']"
ST0039,Aviation operations manager,['53-2022.00']
ST0337,Passenger transport operations manager,['11-3071.01']
ST0503,Network operations,"['15-2031.00', '11-3071.01']"
ST0698,Transport planner (degree),['19-3099.01']
ST0336,Transport planning technician,['19-3099.01']
ST0340,Travel consultant,['41-3041.00']
ST0223,Arborist,['37-3013.00']
ST0656,Advanced upholsterer,['51-6093.00']
ST0536,Chartered town planner (degree),"['19-3051.00', '19-4061.01']"
ST0343,Veterinary nurse,['31-9096.00']
ST0453,Water treatment technician,['51-8031.00']
ST0160,Water process technician,['51-8031.00']
ST0349,General welder (arc processes),['51-4121.06']
ST0852,Plate welder,['51-4121.06']
ST0851,Pipe welder,"['51-4121.06', '47-2152.01']"
ST0313,Commercial procurement and supply (formerly Public sector commercial professional),"['13-1023.00', '43-3061.00']"
ST0668,Assistant buyer / Assistant merchandiser (degree),['13-1022.00']
ST0683,Buying and merchandising assistant,['13-1022.00']
ST0655,Advanced furniture CNC technician,"['51-7042.00', '51-7011.00', '51-7041.00']"
ST0531,Wood product manufacturing operative,"['51-7042.00', '51-7041.00']"
